imdb_title_id,year,genre,colors,genre_1,genre_2,genre_3,color_1,color_2,color_3,color_4,color_5
tt0081259,1980,"Action, Drama, Romance","['black', 'white', 'gray', 'silver', 'maroon']",Action, Drama, Romance,black, white, gray, silver, maroon
tt0081268,1980,"Comedy, Fantasy","['gray', 'white', 'black', 'gray', 'silver']",Comedy, Fantasy,,gray, white, black, gray, silver
tt0081269,1980,"Comedy, Crime, Fantasy","['silver', 'gray', 'black', 'white', 'silver']",Comedy, Crime, Fantasy,silver, gray, black, white, silver
tt0081280,1980,Drama,"['black', 'white', 'gray', 'silver', 'black']",Drama,,,black, white, gray, silver, black
tt0081283,1980,Drama,"['silver', 'black', 'gray', 'gray', 'black']",Drama,,,silver, black, gray, gray, black
tt0081334,1980,"Drama, Horror, Thriller","['white', 'gray', 'black', 'silver', 'gray']",Drama, Horror, Thriller,white, gray, black, silver, gray
tt0081353,1980,"Adventure, Comedy, Family","['silver', 'gray', 'maroon', 'silver', 'black']",Adventure, Comedy, Family,silver, gray, maroon, silver, black
tt0081375,1980,"Comedy, War","['black', 'gray', 'silver', 'gray', 'black']",Comedy, War,,black, gray, silver, gray, black
tt0081383,1980,"Horror, Thriller","['black', 'silver', 'maroon', 'gray', 'maroon']",Horror, Thriller,,black, silver, maroon, gray, maroon
tt0081398,1980,"Biography, Drama, Sport","['maroon', 'gray', 'black', 'silver', 'maroon']",Biography, Drama, Sport,maroon, gray, black, silver, maroon
tt0081414,1980,"Drama, Fantasy","['teal', 'silver', 'black', 'gray', 'navy']",Drama, Fantasy,,teal, silver, black, gray, navy
tt0081433,1980,"Comedy, Music","['silver', 'black', 'olive', 'white', 'maroon']",Comedy, Music,,silver, black, olive, white, maroon
tt0081439,1980,"Adventure, Comedy, Crime","['gray', 'white', 'black', 'silver', 'silver']",Adventure, Comedy, Crime,gray, white, black, silver, silver
tt0081480,1980,"Comedy, Romance","['silver', 'red', 'white', 'gray', 'maroon']",Comedy, Romance,,silver, red, white, gray, maroon
tt0081485,1980,Comedy,"['olive', 'white', 'black', 'gray', 'silver']",Comedy,,,olive, white, black, gray, silver
tt0081505,1980,"Drama, Horror","['yellow', 'black', 'olive', 'olive', 'yellow']",Drama, Horror,,yellow, black, olive, olive, yellow
tt0081528,1980,Drama,"['white', 'black', 'olive', 'gray', 'silver']",Drama,,,white, black, olive, gray, silver
tt0081529,1980,"Action, Comedy","['red', 'gray', 'silver', 'gray', 'black']",Action, Comedy,,red, gray, silver, gray, black
tt0081534,1980,"Drama, Fantasy, Romance","['white', 'black', 'silver', 'gray', 'olive']",Drama, Fantasy, Romance,white, black, silver, gray, olive
tt0081554,1980,"Comedy, Drama","['black', 'silver', 'gray', 'black', 'gray']",Comedy, Drama,,black, silver, gray, black, gray
tt0081562,1980,"Comedy, Crime","['yellow', 'gray', 'silver', 'maroon', 'gray']",Comedy, Crime,,yellow, gray, silver, maroon, gray
tt0081568,1980,"Action, Comedy, Drama","['teal', 'white', 'black', 'red', 'silver']",Action, Comedy, Drama,teal, white, black, red, silver
tt0081625,1980,"Comedy, Romance","['black', 'white', 'silver', 'gray', 'gray']",Comedy, Romance,,black, white, silver, gray, gray
tt0081633,1981,"Adventure, Comedy, Fantasy","['black', 'teal', 'gray', 'silver', 'silver']",Adventure, Comedy, Fantasy,black, teal, gray, silver, silver
tt0081656,1980,"Comedy, Drama","['black', 'silver', 'white', 'black', 'gray']",Comedy, Drama,,black, silver, white, black, gray
tt0081696,1980,"Drama, Romance, Western","['black', 'gray', 'maroon', 'white', 'silver']",Drama, Romance, Western,black, gray, maroon, white, silver
tt0081698,1980,Comedy,"['black', 'white', 'gray', 'maroon', 'teal']",Comedy,,,black, white, gray, maroon, teal
tt0081747,1980,"Action, Adventure, Drama","['gray', 'silver', 'olive', 'white', 'maroon']",Action, Adventure, Drama,gray, silver, olive, white, maroon
tt0081748,1980,"Biography, Comedy","['teal', 'gray', 'black', 'olive', 'silver']",Biography, Comedy,,teal, gray, black, olive, silver
tt0081751,1980,"Comedy, Fantasy","['silver', 'black', 'yellow', 'maroon', 'gray']",Comedy, Fantasy,,silver, black, yellow, maroon, gray
tt0081758,1980,"Comedy, Drama, Romance","['maroon', 'silver', 'gray', 'white', 'black']",Comedy, Drama, Romance,maroon, silver, gray, white, black
tt0081759,1980,"Drama, Thriller","['black', 'gray', 'white', 'silver', 'gray']",Drama, Thriller,,black, gray, white, silver, gray
tt0081777,1980,"Fantasy, Musical, Romance","['white', 'teal', 'gray', 'navy', 'silver']",Fantasy, Musical, Romance,white, teal, gray, navy, silver
tt0081964,1981,"Comedy, Drama, Sport","['white', 'black', 'gray', 'navy', 'silver']",Comedy, Drama, Sport,white, black, gray, navy, silver
tt0081974,1981,"Drama, Romance, Thriller","['silver', 'black', 'gray', 'teal', 'silver']",Drama, Romance, Thriller,silver, black, gray, teal, silver
tt0082001,1981,"Comedy, Drama, Romance","['white', 'olive', 'silver', 'black', 'gray']",Comedy, Drama, Romance,white, olive, silver, black, gray
tt0082010,1981,"Comedy, Horror","['white', 'black', 'red', 'maroon', 'silver']",Comedy, Horror,,white, black, red, maroon, silver
tt0082031,1981,"Comedy, Romance","['olive', 'black', 'silver', 'white', 'maroon']",Comedy, Romance,,olive, black, silver, white, maroon
tt0082042,1981,"Adventure, Comedy, Romance","['white', 'black', 'gray', 'gray', 'silver']",Adventure, Comedy, Romance,white, black, gray, gray, silver
tt0082085,1981,"Mystery, Thriller","['black', 'white', 'gray', 'maroon', 'silver']",Mystery, Thriller,,black, white, gray, maroon, silver
tt0082089,1981,"Crime, Drama, Romance","['black', 'gray', 'white', 'olive', 'silver']",Crime, Drama, Romance,black, gray, white, olive, silver
